"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"silver_rep1"	"silver_rep2"	"silver_rep3"	"silver_rep4"	"silver_rep5"	"silver_rep6"	"yellow_rep1"	"yellow_rep2"	"yellow_rep3"	"yellow_rep4"	"yellow_rep5"	"yellow_rep6"
"78"	"TRINITY_DN10157_c1_g2"	-1.35974800734264	-0.89743339205245	-2.95639862690214	0.0107946018117727	0.0377223957982325	-2.70868059668288	49	42	13	52	45	23	5	4	6	16	16	7
"79"	"TRINITY_DN1016_c0_g1"	-0.489725221186806	6.45489248065322	-4.23268181188023	0.000909867089969249	0.00692690226847307	-1.30657064754303	3630	3690	3649	3108	3607	4053	2650	1478	1541	2509	2394	2723
"80"	"TRINITY_DN1016_c1_g1"	-1.11964614156014	0.359179047987826	-3.2391697823031	0.00621479092045222	0.0256351320056479	-2.34243387429439	167	101	56	59	79	38	36	15	24	23	14	28
"81"	"TRINITY_DN10163_c0_g1"	-0.731988961460082	7.67099154291644	-4.03096040865027	0.00133666723639753	0.00899996717563617	-1.86421191878752	8047	8342	8263	9266	10423	6524	6555	3011	2763	5671	4752	7977
"82"	"TRINITY_DN10164_c0_g1"	-2.32410091634385	-0.00572702874421685	-4.11634138171959	0.00113531925687212	0.00803089250659032	-0.672197064284957	209	54	106	54	119	74	33	1	2	14	28	18
"83"	"TRINITY_DN10165_c0_g1"	1.38478691785107	1.87674409938235	5.61553713500562	7.4004489942921e-05	0.00157664063373471	1.82144701331871	134	116	83	64	84	73	145	107	212	201	167	128
"84"	"TRINITY_DN10169_c0_g1"	-1.65496927441099	1.95231821473789	-6.18082237962448	2.85643270003741e-05	0.00095549146204241	2.76088059149189	200	240	394	296	444	162	74	38	43	47	69	79
"85"	"TRINITY_DN10173_c0_g1"	0.445507139072005	3.5946499391911	3.76452270041029	0.00223333543247292	0.0127198586584955	-1.77982759896733	475	403	448	357	370	406	532	249	286	377	430	444
"86"	"TRINITY_DN10174_c0_g1"	1.02472808830107	2.61071473896769	4.82564631751383	0.000301204847378736	0.00349238695195348	0.357642415583621	227	170	165	102	173	207	185	191	242	186	271	326
"87"	"TRINITY_DN10179_c0_g1"	-1.7122499684297	0.782314832168041	-4.3251399764801	0.000763820251102065	0.00621924107591185	-0.365338815495762	105.99	172	193.58	70	149.99	108	40	7	9	43	22	60
"88"	"TRINITY_DN1018_c0_g1"	-0.478729858945865	8.36889469072317	-5.13869319501588	0.000170972772009165	0.00252958561643766	0.151021714774171	14221.86	11907.12	11360.29	10586.26	12748.11	10749.99	10676.65	8177.84	7938.25	8554.66	9395.06	10106.19
